# x,top,bottom,cryosphere,recharge
5.000000000000000104e-04,7.995010900000000253e-01,2.154412209999999883e-01,6.488782020000000150e-01,nan
1.500000000000000031e-03,7.995121140648183689e-01,2.154426863405153880e-01,6.488547110633926529e-01,nan
2.500000000000000052e-03,7.995302256727042645e-01,2.154449207657159471e-01,6.488117819555343502e-01,nan
3.500000000000000073e-03,7.995483372805901601e-01,2.154471551909165339e-01,6.487688528476760474e-01,nan
4.500000000000000527e-03,7.995664488884760557e-01,2.154493896161171207e-01,6.487259237398177447e-01,nan
5.499999999999999681e-03,7.995845604963620623e-01,2.154516240413177075e-01,6.486829946319595530e-01,nan
6.500000000000000569e-03,7.996026721042479579e-01,2.154538584665182943e-01,6.486400655241012503e-01,nan
7.499999999999999722e-03,7.996207837121338535e-01,2.154560928917188534e-01,6.485971364162429476e-01,nan
8.500000000000000611e-03,7.996388953200197491e-01,2.154583273169194402e-01,6.485542073083846448e-01,nan
9.499999999999999764e-03,7.996570069279056447e-01,2.154605617421200270e-01,6.485112782005264531e-01,nan
1.050000000000000065e-02,7.996658432958423379e-01,2.154627961673206138e-01,6.484683490926681504e-01,nan
1.149999999999999981e-02,7.996425734459372547e-01,2.154650305925212006e-01,6.484254199848098477e-01,nan
1.250000000000000069e-02,7.996193035960321716e-01,2.154672650177217597e-01,6.483824908769515449e-01,nan
1.349999999999999985e-02,7.995960337461271994e-01,2.154694994429223465e-01,6.483395617690932422e-01,nan
1.450000000000000074e-02,7.995727638962221162e-01,2.154717338681229333e-01,6.482966326612350505e-01,nan
1.549999999999999989e-02,7.995494940463170330e-01,2.154739682933235201e-01,6.482537035533767478e-01,nan
1.650000000000000078e-02,7.995262241964120609e-01,2.154762027185241069e-01,6.482107744455184450e-01,nan
1.750000000000000167e-02,7.995029543465069777e-01,2.154784371437246659e-01,6.481678453376601423e-01,nan
1.849999999999999908e-02,7.994796844966020055e-01,2.154806715689252528e-01,6.481249162298018396e-01,nan
1.949999999999999997e-02,7.994564146466969223e-01,2.154829059941258396e-01,6.480819871219436479e-01,nan
2.050000000000000086e-02,7.994331447967918391e-01,2.154851404193264264e-01,6.480390580140853451e-01,nan
2.150000000000000175e-02,7.994098749468868670e-01,2.154873748445270132e-01,6.479961289062270424e-01,nan
2.249999999999999917e-02,7.993866050969817838e-01,2.154896092697275722e-01,6.479531997983687397e-01,nan
2.350000000000000006e-02,7.993633352470767006e-01,2.154918436949281590e-01,6.479102706905104370e-01,nan
2.450000000000000094e-02,7.993400653971717285e-01,2.154940781201287459e-01,6.478673415826522453e-01,nan
2.550000000000000183e-02,7.993167955472666453e-01,2.154963125453293327e-01,6.478244124747939425e-01,nan
2.649999999999999925e-02,7.992935256973615621e-01,2.154985469705299195e-01,6.477814833669356398e-01,nan
2.750000000000000014e-02,7.992702558474565899e-01,2.155007813957304785e-01,6.477385542590773371e-01,nan
2.850000000000000103e-02,7.992469859975515067e-01,2.155030158209310653e-01,6.476956251512190343e-01,nan
2.950000000000000192e-02,7.992237161476465346e-01,2.155052502461316521e-01,6.476526960433608426e-01,nan
3.049999999999999933e-02,7.992004462977414514e-01,2.155074846713322390e-01,6.476097669355025399e-01,nan
3.150000000000000022e-02,7.991771764478363682e-01,2.155097190965327980e-01,6.475668378276442372e-01,nan
3.250000000000000111e-02,7.991539065979313960e-01,2.155119535217333848e-01,6.475239087197859345e-01,nan
3.350000000000000200e-02,7.991306367480263129e-01,2.155141879469339716e-01,6.474809796119276317e-01,nan
3.450000000000000289e-02,7.991073668981212297e-01,2.155164223721345584e-01,6.474380505040694400e-01,nan
3.550000000000000377e-02,7.990840970482162575e-01,2.155186567973351452e-01,6.473951213962111373e-01,nan
3.649999999999999772e-02,7.990608271983111743e-01,2.155208912225357043e-01,6.473521922883528346e-01,nan
3.749999999999999861e-02,7.990375573484060912e-01,2.155231256477362911e-01,6.473092631804945318e-01,nan
3.849999999999999950e-02,7.990142874985011190e-01,2.155253600729368779e-01,6.472663340726362291e-01,nan
3.950000000000000039e-02,7.989910176485960358e-01,2.155275944981374647e-01,6.472234049647780374e-01,nan
4.050000000000000128e-02,7.989677477986910636e-01,2.155298289233380515e-01,6.471804758569197347e-01,nan
4.150000000000000216e-02,7.989444779487859805e-01,2.155320633485386106e-01,6.471375467490614319e-01,nan
4.250000000000000305e-02,7.989212080988808973e-01,2.155342977737391974e-01,6.470946176412031292e-01,nan
4.350000000000000394e-02,7.988979382489759251e-01,2.155365321989397842e-01,6.470516885333448265e-01,nan
4.449999999999999789e-02,7.988746683990708419e-01,2.155387666241403710e-01,6.470087594254866348e-01,nan
4.549999999999999878e-02,7.988513985491657587e-01,2.155410010493409578e-01,6.469658303176283320e-01,nan
4.649999999999999967e-02,7.988281286992607866e-01,2.155432354745415169e-01,6.469229012097700293e-01,nan
4.750000000000000056e-02,7.988048588493557034e-01,2.155454698997421037e-01,6.468799721019117266e-01,nan
4.850000000000000144e-02,7.987815889994506202e-01,2.155477043249426905e-01,6.468370429940534239e-01,nan
4.950000000000000233e-02,7.987583191495456481e-01,2.155499387501432773e-01,6.467941138861952322e-01,nan
5.050000000000000322e-02,7.987350492996405649e-01,2.155521731753438641e-01,6.467511847783369294e-01,nan
5.150000000000000411e-02,7.987117794497355927e-01,2.155544076005444232e-01,6.467082556704786267e-01,nan
5.249999999999999806e-02,7.986885095998305095e-01,2.155566420257450100e-01,6.466653265626203240e-01,nan
5.349999999999999895e-02,7.986652397499254263e-01,2.155588764509455968e-01,6.466223974547620212e-01,nan
5.449999999999999983e-02,7.986419699000204542e-01,2.155611108761461836e-01,6.465794683469038295e-01,nan
5.550000000000000072e-02,7.986187000501153710e-01,2.155633453013467704e-01,6.465365392390455268e-01,nan
5.650000000000000161e-02,7.985954302002102878e-01,2.155655797265473295e-01,6.464936101311872241e-01,nan
5.750000000000000250e-02,7.985721603503053156e-01,2.155678141517479163e-01,6.464506810233289213e-01,nan
5.850000000000000339e-02,7.985488905004002325e-01,2.155700485769485031e-01,6.464176965729530044e-01,nan
5.950000000000000427e-02,7.985290884231739383e-01,2.157028513761306554e-01,6.468522561808165428e-01,nan
6.049999999999999822e-02,7.985134009731612581e-01,2.159737273187242734e-01,6.472868157886799700e-01,nan
6.149999999999999911e-02,7.984977135231485779e-01,2.162446032613179192e-01,6.477213753965435084e-01,nan
6.250000000000000000e-02,7.984820260731358976e-01,2.165154792039115372e-01,6.481559350044070467e-01,nan
6.350000000000000089e-02,7.984663386231231064e-01,2.167863551465051830e-01,6.485904946122704740e-01,nan
6.450000000000000178e-02,7.984506511731104261e-01,2.170572310890988010e-01,6.490250542201340123e-01,nan
6.550000000000000266e-02,7.984349637230977459e-01,2.173281070316924191e-01,6.494596138279975506e-01,nan
6.650000000000000355e-02,7.984192762730850657e-01,2.175989829742860648e-01,6.498941734358609779e-01,nan
6.750000000000000444e-02,7.984035888230722744e-01,2.178698589168796829e-01,6.503287330437245162e-01,nan
